TL = 80000
graph = resnet50
version = 3
Images = 100
Inferences = 10
***
Running Scheduler
TL = 80000
graph = resnet50
version = 3
Images = 100
Inferences = 10
***
Running Scheduler
Logging temp logs to temp_schedulerv3/resnet50_TL80000_dt1000.csv
Main thread running
tdiff = 490, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72728, min_delta_t = 4103.9, val = 92
tdiff = 495, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73160, min_delta_t = 4103.9, val = 93
tdiff = 500.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73376, min_delta_t = 4103.9, val = 94
tdiff = 505, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73376, min_delta_t = 4103.9, val = 95
tdiff = 510.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72728, min_delta_t = 4103.9, val = 96
tdiff = 515, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72728, min_delta_t = 4103.9, val = 97
tdiff = 520, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72296, min_delta_t = 4103.9, val = 98
tdiff = 525.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 74024, min_delta_t = 4103.9, val = 99
5.28362 per image
0.528362 per inference
