TL = 80000
graph = resnet50
version = 3.1
Images = 600
Inferences = 10
***
Running Scheduler
TL = 80000
graph = resnet50
version = 3.1
Images = 600
Inferences = 10
***
Running Scheduler
Logging temp logs to temp_schedulerv3_1/resnet50_TL80000_dt1000_motivation.csv
Main thread running
tdiff = 510.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69704, min_delta_t = 1555.2, val = 251
tdiff = 515.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 71216, min_delta_t = 1555.2, val = 253
tdiff = 520.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70784, min_delta_t = 1555.2, val = 256
tdiff = 525, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67976, min_delta_t = 1555.2, val = 259
tdiff = 530.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 71864, min_delta_t = 1555.2, val = 261
tdiff = 535.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66680, min_delta_t = 1555.2, val = 262
tdiff = 540, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 65168, min_delta_t = 1555.2, val = 264
tdiff = 545.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70136, min_delta_t = 1555.2, val = 266
tdiff = 550, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 71432, min_delta_t = 1555.2, val = 269
tdiff = 555.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66464, min_delta_t = 1555.2, val = 270
tdiff = 560, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66464, min_delta_t = 1555.2, val = 272
tdiff = 565.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70136, min_delta_t = 1555.2, val = 274
tdiff = 570.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69704, min_delta_t = 1555.2, val = 277
tdiff = 575, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66896, min_delta_t = 1555.2, val = 280
tdiff = 580.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68192, min_delta_t = 1555.2, val = 280
